"season","genotype","max_height_cm","min_height_cm","max_growth_cm_gdd","r2","method","method_type"
"season_6","PI569427",202.159223359951,0.559171022466809,0.348470462016974,0.868800436239137,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI656026",200.197787941902,1.09601061476442,0.347567832260537,0.875214982574684,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329841",359.035731302732,6.09372454034117,0.364937238591164,0.876525656701494,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI156330",269.956611722799,3.04491294961108,0.315065121852038,0.876956728614723,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI569886",263.256294887585,2.43097768997252,0.324810206449842,0.885660442671615,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI585961",274.386703534217,6.38480921879346,0.2863181013578,0.88709025957531,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI593916",282.61256487934,3.11682957647781,0.321217743860104,0.89333908431765,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI563006",293.863209706619,0.592696784082628,0.5039485634677,0.898851867096334,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI455221",292.4007090382,3.41424071201858,0.364934782902698,0.900259507272046,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI152771",241.761869016634,4.30391739036639,0.284269495689879,0.903200715194517,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI276837",351.677566835207,5.299895750999,0.372230867959507,0.904065059140194,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI521152",248.224253860817,2.90115713686236,0.338060550069395,0.905062159459375,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI156326",235.103713942566,1.40801239624376,0.34184323641718,0.917009179763059,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI569443",254.156207518888,2.03301267366165,0.320756820767255,0.923688337745975,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI563196",223.765965875772,1.31980037310665,0.387068577112952,0.925126762882008,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI156463",356.934264141194,7.61823367394321,0.322930315886433,0.928441966995277,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI154846",332.948000319464,3.29171244441872,0.416713600964444,0.929158318764339,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI576401",273.489957451017,6.2565787071185,0.260957975947687,0.930556426532356,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329644",310.030579687129,1.24238327300246,0.424568119582146,0.93159599728962,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI570109",191.166481144232,3.72082122347928,0.209858133846472,0.932828426190417,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI525049",339.368201917792,5.04829297260031,0.361018186996067,0.933405961077192,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI563009",273.203628302236,3.43297950078432,0.297557203734651,0.934457924581896,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329465",320.32363132291,1.89886843845209,0.413568796380251,0.936929439742677,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI511355",335.833392225203,2.96266819020462,0.41666939072656,0.937136423555744,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI569460",326.649816284058,3.07833268348106,0.340023367884925,0.937372178166375,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI570400",306.765560099091,2.94519092210534,0.347202770255084,0.937928213412793,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI641835",325.839285244615,3.9301209243675,0.39207232830321,0.940000589187337,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI564163",203.286575079274,6.75100805367651,0.201128779161198,0.943563574128482,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI303658",341.548503863979,2.50416159832328,0.444836393487251,0.943861094149346,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI573193",334.266536174632,2.11277675472402,0.413501829381268,0.945319454788646,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI646242",212.455990631259,1.66515193133131,0.328821651916223,0.945587064236349,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI563020",299.61640590724,8.35733599176871,0.280013599643657,0.945723087284411,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI197542",310.622203230372,4.37215889611831,0.370539126202499,0.946104584702191,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI455307",302.731542013249,2.47502089063041,0.384291623195448,0.946497174331175,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI155885",319.342127246814,4.89440182574762,0.328823997310637,0.947139427109646,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI570254",309.303942644343,4.32621385936858,0.335509602300448,0.947576800535063,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329435",336.572330598152,7.28490426373188,0.268536332367124,0.948023437904959,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI655972",313.803166711666,2.92908025755082,0.374323505907415,0.948137708481125,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI570091",256.543179517668,1.2396730574531,0.383859388703872,0.948311868404987,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI563350",320.314079292939,4.32486447105257,0.329844728814337,0.948960843444381,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329550",229.877587183679,2.24528631465782,0.307062997033735,0.950131826660335,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI569423",284.739041415022,1.204049466534,0.416431284691145,0.950612995659664,"Bayesian logistic model of canopy height vs. gdd","simple"
